player_id,week,name,pos,team,points,pt_change,sum_pts,tm_points,tm_wk_pts,division,conf,initials
00-0034857,15,Josh Allen,QB,BUF,37.86,-0.1603498542274051,25.484285714285715,99.63571428571429,124.56,AFC East,AFC,JA
00-0031588,15,Stefon Diggs,WR,BUF,10.7,-0.40298507462686584,20.614285714285717,99.63571428571429,124.56,AFC East,AFC,SD
00-0036196,15,Gabe Davis,WR,BUF,9.6,-0.42622950819672123,11.784615384615384,99.63571428571429,124.56,AFC East,AFC,GD
00-0035250,15,Devin Singletary,RB,BUF,10,-0.1132075471698113,11.085714285714285,99.63571428571429,124.56,AFC East,AFC,DS
00-0033466,15,Isaiah McKenzie,WR,BUF,4.4,-1.2413793103448274,8.86923076923077,99.63571428571429,124.56,AFC East,AFC,IM
00-0035689,15,Dawson Knox,TE,BUF,21.8,-0.45390070921985803,8.738461538461538,99.63571428571429,124.56,AFC East,AFC,DK
00-0037248,15,James Cook,RB,BUF,11.9,2.7600000000000002,5.771428571428571,99.63571428571429,124.56,AFC East,AFC,JC
00-0034367,15,Nyheim Hines,RB,BUF,8,2.7058823529411766,4.807142857142857,99.63571428571429,124.56,AFC East,AFC,NH
00-0036590,15,Quintin Morris,TE,BUF,8.4,4.461538461538462,3.4000000000000004,99.63571428571429,124.56,AFC East,AFC,QM
00-0033040,15,Tyreek Hill,WR,MIA,21.9,-0.7900552486187847,21.92142857142857,93.78,94.56,AFC East,AFC,TH
00-0036212,15,Tua Tagovailoa,QB,MIA,18.06,-0.5666666666666669,18.543333333333333,93.78,94.56,AFC East,AFC,TT
00-0036613,15,Jaylen Waddle,WR,MIA,20.4,2,15.385714285714286,93.78,94.56,AFC East,AFC,JW
00-0031687,15,Raheem Mostert,RB,MIA,16.6,1.074074074074074,10.169230769230769,93.78,94.56,AFC East,AFC,RM
00-0034829,15,Mike Gesicki,TE,MIA,1.5,Inf,5.457142857142857,93.78,94.56,AFC East,AFC,MG
00-0034487,15,Trent Sherfield,WR,MIA,0,-2,5.3,93.78,94.56,AFC East,AFC,TS
00-0035125,15,Alec Ingold,RB,MIA,1.9,Inf,3.8299999999999996,93.78,94.56,AFC East,AFC,AI
00-0034798,15,Durham Smythe,TE,MIA,0.8,-1.8048780487804879,3.2666666666666666,93.78,94.56,AFC East,AFC,DS
00-0034418,15,Cedrick Wilson,WR,MIA,3.1,-1.205128205128205,2.933333333333333,93.78,94.56,AFC East,AFC,CW
00-0036020,15,Salvon Ahmed,RB,MIA,10.3,101,2.9250000000000003,93.78,94.56,AFC East,AFC,SA
00-0036875,15,Rhamondre Stevenson,RB,NE,22.8,5.6000000000000005,15.964285714285714,75.12285714285714,59.28,AFC East,AFC,RS
00-0034960,15,Jakobi Meyers,WR,NE,8.7,-0.3269230769230771,12.263636363636364,75.12285714285714,59.28,AFC East,AFC,JM
00-0036972,15,Mac Jones,QB,NE,7.48,-0.9753424657534246,11.100000000000001,75.12285714285714,59.28,AFC East,AFC,MJ
00-0038098,15,Pierre Strong,RB,NE,6.7,-1.6058823529411765,8.066666666666666,75.12285714285714,59.28,AFC East,AFC,PS
00-0031549,15,Nelson Agholor,WR,NE,1.3,-1.8414634146341462,6.266666666666667,75.12285714285714,59.28,AFC East,AFC,NA
00-0033090,15,Hunter Henry,TE,NE,2.9,-1.71,5.964285714285714,75.12285714285714,59.28,AFC East,AFC,HH
00-0038104,15,Tyquan Thornton,WR,NE,3.1,-1.5441176470588234,5.244444444444444,75.12285714285714,59.28,AFC East,AFC,TT
00-0033858,15,Jonnu Smith,TE,NE,4.4,Inf,4.263636363636364,75.12285714285714,59.28,AFC East,AFC,JS
00-0033307,15,Kendrick Bourne,WR,NE,0,-2,4.007692307692308,75.12285714285714,59.28,AFC East,AFC,KB
00-0037740,15,Garrett Wilson,WR,NYJ,13.8,-1,13.428571428571429,81.09714285714286,85.38,AFC East,AFC,GW
00-0037013,15,Zach Wilson,QB,NYJ,19.38,1.4119718309859155,12.3925,81.09714285714286,85.38,AFC East,AFC,ZW
00-0037157,15,Zonovan Knight,RB,NYJ,2.3,-1.8535031847133756,12.025,81.09714285714286,85.38,AFC East,AFC,ZK
00-0036924,15,Michael Carter,RB,NYJ,4.1,-0.6333333333333335,8.538461538461538,81.09714285714286,85.38,AFC East,AFC,MC
00-0034270,15,Tyler Conklin,TE,NYJ,1.9,-1.7564102564102564,7.628571428571428,81.09714285714286,85.38,AFC East,AFC,TC
00-0036980,15,Elijah Moore,WR,NYJ,9.4,-1.2166666666666666,7.154545454545455,81.09714285714286,85.38,AFC East,AFC,EM
00-0032134,15,C.J. Uzomah,TE,NYJ,18.1,8.647058823529413,4.680000000000001,81.09714285714286,85.38,AFC East,AFC,CU
00-0034419,15,Braxton Berrios,WR,NYJ,2.4,-1.3142857142857143,3.8771428571428572,81.09714285714286,85.38,AFC East,AFC,BB
00-0036255,15,Denzel Mims,WR,NYJ,2.3,-1.646153846153846,3.7,81.09714285714286,85.38,AFC East,AFC,DM
00-0035510,15,Jeff Smith,WR,NYJ,11.7,5.312499999999999,3.057142857142857,81.09714285714286,85.38,AFC East,AFC,JS
00-0034753,15,Mark Andrews,TE,BAL,6.1,-0.35135135135135154,12.615384615384615,77.46714285714286,52.12,AFC North,AFC,MA
00-0036158,15,J.K. Dobbins,RB,BAL,13.8,-1.2333333333333334,11,77.46714285714286,52.12,AFC North,AFC,JD
00-0035993,15,Tyler Huntley,QB,BAL,5.02,-1.241691842900302,9.073333333333332,77.46714285714286,52.12,AFC North,AFC,TH
00-0034184,15,Gus Edwards,RB,BAL,5.5,-1.1666666666666665,7.933333333333334,77.46714285714286,52.12,AFC North,AFC,GE
00-0036331,15,Devin Duvernay,WR,BAL,4.9,Inf,7.864285714285714,77.46714285714286,52.12,AFC North,AFC,DD
00-0032775,15,Demarcus Robinson,WR,BAL,6.9,-1.3235294117647058,6.915384615384616,77.46714285714286,52.12,AFC North,AFC,DR
00-0037838,15,Isaiah Likely,TE,BAL,3.8,-1.4571428571428573,5.581818181818182,77.46714285714286,52.12,AFC North,AFC,IL
00-0035249,15,Josh Oliver,TE,BAL,3.3,-1.8125,4.366666666666667,77.46714285714286,52.12,AFC North,AFC,JO
00-0026189,15,DeSean Jackson,WR,BAL,0,-2,4.08,77.46714285714286,52.12,AFC North,AFC,DJ
00-0034975,15,Justice Hill,RB,BAL,2.8,-0.9230769230769231,3.3818181818181823,77.46714285714286,52.12,AFC North,AFC,JH
00-0036442,15,Joe Burrow,QB,CIN,24.8,-0.5024154589371983,22.82857142857143,101.51428571428572,102.3,AFC North,AFC,JB
00-0036900,15,Ja'Marr Chase,WR,CIN,19,-1.3333333333333333,20.59,101.51428571428572,102.3,AFC North,AFC,JC
00-0033897,15,Joe Mixon,RB,CIN,10.4,-1.1746031746031744,16.991666666666667,101.51428571428572,102.3,AFC North,AFC,JM
00-0036410,15,Tee Higgins,WR,CIN,16.3,-0.696,16.033333333333335,101.51428571428572,102.3,AFC North,AFC,TH
00-0033009,15,Tyler Boyd,WR,CIN,14.5,Inf,10.851428571428572,101.51428571428572,102.3,AFC North,AFC,TB
00-0033526,15,Samaje Perine,RB,CIN,3.4,-1.6382978723404253,9.549999999999999,101.51428571428572,102.3,AFC North,AFC,SP
00-0035341,15,Trenton Irwin,WR,CIN,1.5,-1.891304347826087,5.928571428571429,101.51428571428572,102.3,AFC North,AFC,TI
00-0035771,15,Mitchell Wilcox,TE,CIN,12.4,4.2,3.425,101.51428571428572,102.3,AFC North,AFC,MW
00-0034791,15,Nick Chubb,RB,CLE,9.9,-0.8214285714285714,16.742857142857144,83.37428571428572,64.84,AFC North,AFC,NC
00-0031544,15,Amari Cooper,WR,CLE,9.8,-0.4193548387096774,14.3,83.37428571428572,64.84,AFC North,AFC,AC
00-0033119,15,Jacoby Brissett,QB,CLE,0.3,Inf,13.416923076923078,83.37428571428572,64.84,AFC North,AFC,JB
00-0033537,15,Deshaun Watson,QB,CLE,12.64,-1.226438188494492,11.44,83.37428571428572,64.84,AFC North,AFC,DW
00-0033885,15,David Njoku,TE,CLE,5.8,-1.6898395721925135,11.027272727272727,83.37428571428572,64.84,AFC North,AFC,DN
00-0036233,15,Donovan Peoples-Jones,WR,CLE,13.1,-1.324742268041237,10.385714285714286,83.37428571428572,64.84,AFC North,AFC,DPJ
